"severity","category","code","id","subject","unit","concept","difficulty","message","reasons","excerpt","meta"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-23","다변수함수","선적분과 면적분","그린정리 반원","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/Stokes|스토크스|Green\\s*정리|그린\\s*정리|발산\\s*정리|Gauss\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=19""]","곡선 $C$는 $C=\{(x,y)\in\mathbb R^2\mid x=\cos\theta,\,y=\sin\theta,\,0\le\theta\le\pi\}$인 반원이며, 반시계 방향으로 향이 주어져 있다. 이때, $\displaystyle\int_C(y+x^2)\,dx+\!\left(2x+\sqrt[3]{\sin y^3+e^{y^2}}\right)dy$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-24","적분학","급수의 수렴/발산","급수합·수렴구간 진위","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""multiStatement"",""mathDensity=33""]","다음 <보기> 중 옳은 것은 몇 개인가? (가) $\displaystyle\sum_{n=0}^{\infty}\dfrac{1}{(2n)!}=\dfrac{1}{2}\!\left(e+\dfrac{1}{e}\right)$ (나) $\displaystyle\sum_{n=1}^{\infty}\dfrac{n^2}{3^n}=\dfrac{3}{2}$ (다) $\displaystyle\sum_{n=0}^{\i...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-25","선형대수","고유치와 대각화","행렬 진위 보기","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/Jordan|조르당|최소다항식|Cayley[-\\s]*Hamilton|케일리/"",""multiStatement"",""mathDensity=20""]","다음 <보기> 중 옳은 것은 몇 개인가? (가) $A=\begin{pmatrix}2t&1\\0&2t\end{pmatrix}$일 때, $e^A=\begin{pmatrix}e^{2t}&e^{2t}\\0&e^{2t}\end{pmatrix}$이다. (나) $A=\begin{pmatrix}4&2&-2\\-5&3&2\\-2&4&1\end{pmatrix}$일 때, $10A^{-1}=A^2-8A+17I$가...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-26","다변수함수","곡선과 곡면","평면과 점 거리","easyMedium","Heuristic estimate is 상 but current is 중하.","[""unitBase=3"",""mathDensity=17""]","두 직선 $\dfrac{x}{2}=\dfrac{y-2}{3}=z+1$과 $\dfrac{x+1}{4}=\dfrac{y}{6}=\dfrac{z-3}{2}$를 포함하는 평면 $\alpha$와 점 $(2,1,3)$과의 거리는?","{""currentIndex"":1,""predictedIndex"":4,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-29","다변수함수","중적분","적분순서 변경","easyMedium","Heuristic estimate is 상 but current is 중하.","[""unitBase=3"",""mathDensity=29""]","$\displaystyle\int_0^2\!\!\int_0^{\sqrt{4-x^2}}\!\sqrt{4-y^2}\,dy\,dx$의 값은?","{""currentIndex"":1,""predictedIndex"":4,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-hanyang-03","적분학","특이적분","발산 판정","easyMedium","Heuristic estimate is 상 but current is 중하.","[""unitBase=3"",""mathDensity=10""]","적분 $\displaystyle\int_{-4}^{4}\dfrac{2}{2+x}\,dx$의 값은?","{""currentIndex"":1,""predictedIndex"":4,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-hanyang-08","다변수함수","Taylor급수와 최대/최소","라그랑지 미정계수","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=22""]","곡면 $x^2+2y^2+3z^2=18$ 위의 점 $P(x,y,z)$에 대하여 $f(x,y,z)=xyz$의 최댓값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-kwangwoon-23","다변수함수","곡선과 곡면","곡면 면적 (제약)","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=26""]","$\mathbb{R}^3$에서 원기둥 $x^2+y^2=3$과 곡면 $z=xy$이 만날 때, 원기둥 내부에 있는 곡면의 면적은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-kwangwoon-26","다변수함수","삼중적분과 극좌표계","사면체 영역 적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=28""]","영역 $Q:x\ge 0,\,y\ge 0,\,z\ge 0,\,x+y+z\le 1$에서 $\displaystyle\iiint_Q x\,dV$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-kwangwoon-28","다변수함수","중적분","극좌표 + 적분식 표기","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""multiStatement"",""mathDensity=31""]","$\mathbb{R}^2$에서 $y\ge x,\,x\ge 0,\,x^2+\!\left(y-\dfrac{1}{2}\right)^2\ge\dfrac{1}{4},\,x^2+y^2\le 4$로 이루어진 영역의 면적에 대해 다음 보기 중 옳은 것을 모두 고르면? ⓐ $\dfrac{7\pi-2}{16}$ ⓑ $\displaystyle\int_{\pi/4}^{\pi/2}\!\!\int_{\sin\thet...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-02","다변수함수","곡선과 곡면","공간곡선 곡률","easyMedium","Heuristic estimate is 상 but current is 중하.","[""unitBase=3"",""mathDensity=13""]","곡선 $r(t)=\langle\sin t,\,\cos t,\,2t\rangle$ 위의 점 $(0,1,0)$에서의 곡률의 값은?","{""currentIndex"":1,""predictedIndex"":4,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-05","공학수학","미분방정식","1계 선형 ODE","easy","Heuristic estimate is 상 but current is 하.","[""unitBase=3"",""mathDensity=16""]","미분방정식 $y'-\dfrac{1}{x}y=x^2$의 해 $y(x)$가 $y(2)=0$을 만족할 때 $y(1)$의 값은?","{""currentIndex"":0,""predictedIndex"":4,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-07","다변수함수","곡선과 곡면","평면 삼각형 면적","easy","Heuristic estimate is 상 but current is 하.","[""unitBase=3"",""mathDensity=11""]","평면 $x+2y+4z=8$에서 부등식 $x\ge 0,\,y\ge 0,\,z\ge 0$을 모두 만족하는 부분의 넓이의 값은?","{""currentIndex"":0,""predictedIndex"":4,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-11","공학수학","Laplace변환","단계함수 변환","easy","Heuristic estimate is 상 but current is 하.","[""unitBase=3"",""mathDensity=25""]","함수 $f(t)=\begin{cases}0&(t<1)\\1&(1<t<2)\\0&(t>2)\end{cases}$의 라플라스 변환 $\mathcal L\{f(t)\}(s)$는?","{""currentIndex"":0,""predictedIndex"":4,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-17","다변수함수","선적분과 면적분","그린정리","easyMedium","Heuristic estimate is 킬러 but current is 중하.","[""unitBase=4"",""highKeyword=/Stokes|스토크스|Green\\s*정리|그린\\s*정리|발산\\s*정리|Gauss\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=10""]","다음 선적분의 값은? $\displaystyle\int_C(e^x\sin x-y)\,dx+(x^2+\sqrt{y^2+1})\,dy$ (여기서 $C:x^2+y^2=1$은 단위원이다.)","{""currentIndex"":1,""predictedIndex"":5,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2017-skku-20","다변수함수","중적분","이차형식 변수치환","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=36""]","좌표평면 위에 부등식 $x^2+2xy+5y^2\le 1$을 만족하는 영역을 $S$라고 할 때 이중적분 $\displaystyle\iint_S\dfrac{dx\,dy}{(1+x^2+2xy+5y^2)^2}$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-sogang-10","미분학","도함수의 응용","포물선 운동","easy","Heuristic estimate is 중상 but current is 하.","[""unitBase=2"",""mathDensity=7""]","한 발사체가 초기속력 $9.8\,m/s$, 상승각 $30^\circ$로 지상 $9.8\,m$의 위치에서 발사되었다. 공기저항은 무시하고 외부의 힘은 오직 중력만이 작용한다고 할 때 이 발사체가 지상에 도달하는데 걸리는 시간은? (단, 중력 상수는 $g=9.8\,m/s^2$이다.)","{""currentIndex"":0,""predictedIndex"":3,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-sogang-11","다변수함수","경도 및 방향도함수","라그랑주 승수","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/라그랑주\\s*승수|음함수\\s*정리|역함수\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=29""]","함수 $f(x,y,z)=x-2y+3z$의 곡면 $x^2+(y-1)^2+2z^2=19$ 위에서의 극댓값을 $\alpha$, 극솟값을 $\beta$라 할 때 $\alpha-\beta$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-sogang-12","다변수함수","중적분","변수변환 자코비안","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=41""]","선형변환 $T:\mathbb{R}^2\to\mathbb{R}^2$이 $T(u,v)=\left(4u,\,2u+\dfrac{3}{8}v\right)$로 주어졌다. 2차원 영역 $D^*=\{(u,v):0\le u\le 1,\,1\le v\le 3\}$에 대하여 $D=T(D^*)$라 할 때 $I=\displaystyle\iint_D\!\left(-\dfrac{x^2}{16}+y\right)dx\,d...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-sogang-13","다변수함수","선적분과 면적분","보존벡터장 선적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=21""]","$\vec{F}=(2xyz^2-\cos x)\vec{i}+(x^2z^2)\vec{j}+(2x^2yz)\vec{k}$로 주어진 벡터장과 곡선 $C$가 $\vec{r}(t)=(\cos^5 t,\,-\sin^3 t,\,t^5),\,0\le t\le\dfrac{\pi}{2}$로 주어졌다. 이 때 $I=\displaystyle\int_C\vec{F}\cdot d\vec{r}$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-04","적분학","급수의 수렴/발산","수렴 보기 6개","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""multiStatement"",""mathDensity=40""]","다음 <보기> 중 수렴하는 급수의 개수는? (가) $\displaystyle\sum_{n=1}^{\infty}\sin^3\dfrac{1}{n}$ (나) $\displaystyle\sum_{n=1}^{\infty}\sqrt{n\arctan\!\left(\dfrac{1}{n^4}\right)}$ (다) $\displaystyle\sum_{n=1}^{\infty}(n^{1/n}-1)^n$ (라) ...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-07","적분학","정적분의 계산","감마함수","easy","Heuristic estimate is 중상 but current is 하.","[""unitBase=2"",""mathDensity=12""]","$\displaystyle\int_0^{\infty}x^3 e^{-x}\,dx$의 값은?","{""currentIndex"":0,""predictedIndex"":3,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-11","다변수함수","중적분","평행사변형 변환적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=18""]","좌표평면 위의 네 점 $(0,0),(1,1),(2,-2),(3,-1)$을 꼭짓점으로 가지는 사각형의 경계와 내부를 $R$이라 할 때, $\displaystyle\iint_R(x+y)e^{x-y}\,dxdy$를 계산하면?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-15","다변수함수","선적분과 면적분","그린정리 최댓값","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/Stokes|스토크스|Green\\s*정리|그린\\s*정리|발산\\s*정리|Gauss\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""multipleMidKeywords=/매개변수|극좌표|극방정식|특이적분|이상적분/|/중적분|삼중적분|선적분|면적분|곡면적|방향도함수|경도/"",""mathDensity=21""]","$xy$-평면에서 시계반대방향의 향을 갖는 단순폐곡선 $C$에 대하여 선적분 $\displaystyle\int_C(y^3-9y)\,dx-x^3\,dy$의 최댓값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-16","다변수함수","선적분과 면적분","보존장 선적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=30""]","$x=e^{t^2}-e,\,y=\sin\dfrac{\pi}{t^2+2}$로 매개화된 곡선 $C:[0,1]\to\mathbb R^2$ 위에서 정의된 벡터장 $\mathbf F(x,y)=\!\left(3x^2\cos\!\left(\dfrac{\pi}{4}y\right),-\dfrac{\pi}{4}x^3\sin\!\left(\dfrac{\pi}{4}y\right)\!\right)$의 선적분 $\d...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-17","다변수함수","선적분과 면적분","발산정리 반구","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/Stokes|스토크스|Green\\s*정리|그린\\s*정리|발산\\s*정리|Gauss\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=16""]","반구 $S=\{(x,y,z)\in\mathbb R^3\mid x^2+y^2+z^2=1,\,z\ge 0\}$에서 주어진 벡터장 $\mathbf F(x,y,z)=(ye^{z^2}\sin z,\,xe^{z^2}\cos z,\,4x^2+z)$의 곡면 적분 $\displaystyle\iint_S\mathbf F\cdot\mathbf n\,dS$를 계산하면? (단, $\mathbf n$은 곡면에 수직이...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-cau-22","선형대수","고유치와 대각화","조던 표준형 성분합","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/Jordan|조르당|최소다항식|Cayley[-\\s]*Hamilton|케일리/"",""mathDensity=8""]","선형사상 $T:(x,y,z)\mapsto(5x+4y+3z,\,-x-3z,\,x-2y+z)$의 조단형식(Jordan canonical form)으로 주어진 $3\times 3$ 행렬의 $(i,j)$-성분을 $a_{ij}$라 할 때, $\displaystyle\sum_{i=1}^3\sum_{j=1}^3 a_{ij}$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-hanyang-05","다변수함수","선적분과 면적분","선적분 비교","easyMedium","Heuristic estimate is 킬러 but current is 중하.","[""unitBase=4"",""multipleMidKeywords=/매개변수|극좌표|극방정식|특이적분|이상적분/|/중적분|삼중적분|선적분|면적분|곡면적|방향도함수|경도/"",""mathDensity=32""]","$C$는 포물선 $y=x^2$ 위의 점 $(0,0)$에서 점 $(1,1)$까지의 호(arc)일 때 다음 선적분의 값 중에서 가장 큰 것은? (단, $\displaystyle\int_C f(x,y)\,ds$는 $f(x,y)$의 호의 길이에 대한 선적분이다.)","{""currentIndex"":1,""predictedIndex"":5,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2018-hanyang-07","다변수함수","선적분과 면적분","그린정리","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/Stokes|스토크스|Green\\s*정리|그린\\s*정리|발산\\s*정리|Gauss\\s*정리/|/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""multipleMidKeywords=/매개변수|극좌표|극방정식|특이적분|이상적분/|/중적분|삼중적분|선적분|면적분|곡면적|방향도함수|경도/"",""mathDensity=29""]","$C$가 두 원 $x^2+y^2=1$과 $x^2+y^2=4$ 사이의 영역 $D$의 경계로 이루어진 양의 방향을 갖는 곡선일 때 선적분 $\displaystyle\int_C(e^{\cos x}+y^3)\,dx+(\sqrt{y^4+1}+2xy^2)\,dy$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-hanyang-10","다변수함수","삼중적분과 극좌표계","타원체 적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=4"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=37""]","영역 $R=\{(x,y,z)\mid 9x^2+4y^2+z^2\le 1\}$에 대하여 $\displaystyle\iiint_R (9x^2+4y^2+z^2)^2\,dx\,dy\,dz$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2018-hanyang-13","선형대수","벡터공간","부분공간 판정","easyMedium","Heuristic estimate is 킬러 but current is 중하.","[""unitBase=3"",""multipleMidKeywords=/매개변수|극좌표|극방정식|특이적분|이상적분/|/고유값|고유치|대각화|벡터공간|선형사상|선형변환/"",""multiStatement""]","다음 <보기> 중에서 벡터공간 $R^3$의 부분공간을 모두 고르시오. 가) $\{(x,y,7x-5y)\mid x,y\in R\}$ 나) $\{(x,y,z)\in R^3\mid 3x+7y-1=0\}$ 다) $\{(x,y,z)\in R^3\mid xy=0\}\cap\{(x,y,z)\in R^3\mid yz=0\}\cap\{(x,y,z)\in R^3\mid zx=0\}$ 라) $\{(x,y,z)\...","{""currentIndex"":1,""predictedIndex"":5,""delta"":4}"
"P1","difficulty","difficulty_probably_too_low","q-2018-hanyang-19","공학수학","미분방정식","2계 상수계수 동차 ODE","easy","Heuristic estimate is 상 but current is 하.","[""unitBase=3"",""mathDensity=17""]","$y''+5y'+6y=0,\ y(0)=3,\ y'(0)=-7$일 때 $y(1)+y'(1)$의 값은?","{""currentIndex"":0,""predictedIndex"":4,""delta"":4}"
