"severity","category","code","id","subject","unit","concept","difficulty","field","message","reasons","excerpt","evidence"
"P3","quality","complex_problem_low_math_explanation","q-2021-seoultech-17","선형대수","행렬","선형대수 명제 참/거짓(6개)","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","다음 중 참인 명제의 개수는? ㄱ. $n\times n$ 정사각행렬 $A,B,C$에 대하여 $A$의 계수가 $n$이고 $AB=AC$이면 $B=C$이다. ㄴ. $n\times n$ 정사각행렬은 항상 $n$개의 서로 다른 고유값을 갖는다. ㄷ. $A^T=A^{-1}$을 만족하는 실수 정사각행렬 $A$의 행렬식 $\det A=1$이다. ㄹ. $A^T=A^{-1}$을 만족하는 실수 정사각행렬 $A$의 고유값을 $\lambda$라 할 ...","ㄱ 참(가역). ㄴ 거짓. ㄷ 거짓($\pm 1$). ㄹ 참(직교행렬 고유값 절대값 $=1$). ㅁ 참(대칭). ㅂ 거짓($a+b=n$). 참: ㄱ,ㄹ,ㅁ → $3$개."
"P3","quality","complex_problem_low_math_explanation","q-2022-dgu-11","다변수함수","중적분","반원 영역 이중적분 표현","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=33"",""explanationMathDensity=0""]","$x^2+y^2\le 1,\,y\ge 0$으로 정의된 영역 $S$에서 적분가능한 함수 $f(x,y)$에 대해 다음 보기 중 이중적분 $\!\displaystyle\iint_S f(x,y)dA$와 같은 것을 모두 고르면? A. $\!\int_{-1}^1\!\!\int_0^{\sqrt{1-x^2}}f(x,y)dy\,dx$ B. $\!\int_0^1\!\!\int_{-\sqrt{1-y^2}}^{\sqrt{1-y^2}}f(x,y)dx...","A 참 (수직 슬라이스). B 참 (수평 슬라이스). C 거짓 (극좌표 야코비안 $r$ 누락)."
"P3","quality","complex_problem_low_math_explanation","q-2022-ewha-17","미분학","극한과 연속","함수열 수렴 명제","hard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=19"",""explanationMathDensity=0""]","다음 중 함수 수열 $\{f_n\},\{g_n\}$에 대한 설명 중 옳은 것을 모두 고르시오. a. $f_n$이 $f$로 평등수렴하면 점별수렴한다. b. 각 $f_n$이 연속이고 $f$로 평등수렴하면 $f$도 연속. c. $f_n,g_n$이 각각 $f,g$로 평등수렴하면 $f_n g_n$이 $fg$로 평등수렴. d. $\!\sum f_n,\!\sum g_n$이 각 평등수렴이면 $\!\sum f_n g_n$도 평등수렴.","a는 평등수렴이면 각 점에서의 수렴이 자동으로 따르므로 참이다. b는 연속함수열의 평등수렴 극한이 연속이라는 정리로 참이다. c는 곱의 평등수렴에 유계 조건이 추가로 필요하므로 일반적으로 거짓이고, d도 급수의 곱에 대한 평등수렴이 자동으로 보장되지 않는다. 따라서 a, b만 옳다."
"P3","quality","complex_problem_low_math_explanation","q-2022-hongik-15","공학수학","미분방정식","열방정식 경계값 문제","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=15"",""explanationMathDensity=0""]","길이가 $L$인 막대가 $x$축의 구간 $[0,L]$에 놓여 있고 막대 내에서 $x$축 방향으로 열전도가 일어날 때 경계값 문제: $k\dfrac{\partial^2 u}{\partial x^2}=\dfrac{\partial u}{\partial t},\,\dfrac{\partial u}{\partial x}\bigg|_{x=0}=0,\,u(L,t)=0,\,u(x,0)=f(x)$. 위 문제 상황과 맞지 않는 것을 고르시오.","(1) 거짓: $u(x,t)$는 시간에 따라 변하는 온도 분포이지 평형상태 아님. (2)(3)(4) 모두 경계값 문제의 조건을 정확히 해석."
"P3","quality","complex_problem_low_math_explanation","q-2022pm-dankook-47","선형대수","행렬","해공간 차원 (rank-nullity)","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=19"",""explanationMathDensity=0""]","연립일차방정식 $\begin{cases}x_1+3x_2-2x_3+2x_5=0\\2x_1+6x_2-5x_3-2x_4+4x_5-3x_6=0\\x_3+2x_4+3x_5=0\\x_1+3x_2+4x_4+2x_5+9x_6=0\end{cases}$의 해공간의 차원(dimension)은?","행 축약 후 rank 계산: rank $=3$. 변수 6개 - rank 3 $=$ 해공간 차원 $3$."
"P3","quality","complex_problem_low_math_explanation","q-2023-ewha-13","미분학","극한과 연속","평등 연속 판별","hard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","다음 함수 중 평등 연속인 함수를 모두 고르시오. a. $f:[1,\infty)\to\mathbb{R},\,f(x)=1/x$ b. $f:\mathbb{R}\to\mathbb{R},\,f(x)=e^{\cos x}$ c. $f:\mathbb{R}\to\mathbb{R},\,f(x)=\sin(e^x)$ d. $f:\mathbb{R}\to\mathbb{R},\,f(x)=\cos(e^x)$ e. $f:\mathbb{R}\to\mathb...","a 참: $f'$ 유계. b 참: $f'$ 유계. c 거짓: 진동. d 거짓: 진동. e 거짓: $x=0$에서 불연속(점프)."
"P3","quality","complex_problem_low_math_explanation","q-2023-hongik-15","공학수학","미분방정식","변수치환(코시·극좌표·파동)","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=59"",""explanationMathDensity=0""]","(가)~(다) 중 변수 치환에 의해 식이 옳게 변형된 것의 개수를 구하시오. (가) $x=e^t$에 의해 $ax^2\dfrac{d^2 y}{dx^2}+bx\dfrac{dy}{dx}+cy=0$은 $a\dfrac{d^2 y}{dt^2}+(b-a)\dfrac{dy}{dt}+cy=0$으로 변형 (나) $x=r\cos\theta,\,y=r\sin\theta$에 의해 $\dfrac{\partial^2 u}{\partial x^2}+\df...","(가) 코시-오일러 → 상수계수: $a\ddot y+(b-a)\dot y+cy=0$ ⇒ 참. (나) 극좌표 라플라스 ⇒ 참. (다) 파동 방정식 D'Alembert 치환 ⇒ 참. 모두 참."
"P3","quality","complex_problem_low_math_explanation","q-2023-kyunghee-03","적분학","특이적분","$\!\int_0^\infty 1/x^p$ 수렴","easy","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=9"",""explanationMathDensity=0""]","적분 $\!\displaystyle\int_0^\infty\dfrac{1}{x^p}\,dx$에 관한 설명으로 옳은 것은?","$[0,1]$에서는 $p<1$이어야 수렴, $[1,\infty)$에서는 $p>1$이어야 수렴. 둘 다 만족하는 $p$ 없음 ⇒ 항상 발산."
"P3","quality","complex_problem_low_math_explanation","q-2024-cau-15","적분학","부정적분","부분분수 + 유리함수 조건","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=19"",""explanationMathDensity=0""]","다음 <보기> 중 두 개를 더했을 때, 유리함수로 표현할 수 있는 것은? (단, 유리함수는 분모와 분자가 다항식으로 구성된 함수이다.) (가) $\!\displaystyle\int\dfrac{2x}{x^2-1}dx$ (나) $\!\displaystyle\int\dfrac{2}{x(x+1)}dx$ (다) $\!\displaystyle\int\dfrac{x^2+1}{x^2(x+1)^2}dx$ (라) $\!\displaystyle\...","(나) $=2\ln|x|-2\ln|x+1|$, (다) $=-2\ln|x|-1/x+2\ln|x+1|-2/(x+1)$. 합 $=-1/x-2/(x+1)$ → 유리함수."
"P3","quality","complex_problem_low_math_explanation","q-2024-ewha-17","미분학","극한과 연속","수열 명제 판별","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=19"",""explanationMathDensity=0""]","다음 중 옳은 것을 모두 고르시오. a. $\!\lim(a_n+b_n)=\lim a_n+\lim b_n$. b. $\lim|a_n|=0$이면 $\lim a_n\sin(n\pi/6)=0$. c. $\lim a_n=L$이고 $f$가 $L$에서 연속이면 $\lim f(a_n)=f(L)$. d. 위로 유계인 단조수열은 수렴한다.","a 거짓: 각각 수렴해야 함. b 참: 유계×0. c 참. d 거짓: 단조감소+유계 아래여야 수렴."
"P3","quality","complex_problem_low_math_explanation","q-2024-soongsil-08","미분학","극한과 연속","극한 명제","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=27"",""explanationMathDensity=0""]","다음 중 항상 참인 것을 모두 고르면? (가) $\!\displaystyle\lim_{x\to 3}f(x)=5$이고 $\!\displaystyle\lim_{x\to 3}g(x)=0$이면, $\!\displaystyle\lim_{x\to 3}[f(x)/g(x)]$는 존재하지 않는다. (나) $\!\displaystyle\lim_{x\to a}f(x)$와 $\!\displaystyle\lim_{x\to a}g(x)$ 둘 다 존재하...","(가) 참: $0$이 아닌 값/$0$ 형태. (나) 거짓: $f=1/x$, $g=-1/x$. (다) 참: 만약 존재한다면 $g$ 수렴하므로 모순. (라) 거짓: 함숫값과 극한값은 다를 수 있다(불연속)."
"P3","quality","complex_problem_low_math_explanation","q-2024-uos-25","선형대수","행렬","대각화 $A=PDP^{-1}$","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=19"",""explanationMathDensity=0""]","행렬 $A=\!\begin{pmatrix}4&2&-1\\-1&1&3\\1&1&2\end{pmatrix}$를 $A=PDP^{-1}$ 형태로 대각화하자. $D=\!\begin{pmatrix}\lambda_1&0&0\\0&\lambda_2&0\\0&0&\lambda_3\end{pmatrix}$($\lambda_1<\lambda_2<\lambda_3$), $P=\!\begin{pmatrix}a&b&c\\d&e&f\\g&h&i\end{...","고유값 $\lambda=1,2,4$. 고유벡터: $\lambda=1$: $(3,-4,1)$, $\lambda=2$: $(1,-1,0)$, $\lambda=4$: $(3,1,2)$. $d=-4,e=-1,f=1,g=1,h=0,i=2$. 합 $=16+1+1+1+0+4=23$."
"P3","quality","complex_problem_low_math_explanation","q-2025-kw-13","선형대수","벡터와 공간도형","외적·스칼라삼중적","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=12"",""explanationMathDensity=0""]","공간 벡터 $\mathbf{u},\mathbf{v},\mathbf{w}$에 대해 다음 중 옳은 것을 모두 고른 것은? ㄱ. $(\mathbf{u}\times\mathbf{v})\cdot\mathbf{w}=|\mathbf{u}\times\mathbf{v}||\mathbf{w}|\cos\theta$ (단, $\theta$는 $\mathbf{u}\times\mathbf{v}$와 $\mathbf{w}$의 사잇각) ㄴ. $\mathbf...","모두 표준 항등식: 내적의 정의, 외적의 직교성, 스칼라삼중적의 순환, 평행사변형 항등식. 모두 옳음."
"P3","quality","complex_problem_low_math_explanation","q-2025-kyunghee-25","선형대수","행렬","행렬 명제 판정","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=21"",""explanationMathDensity=0""]","다음 명제 중 참인 것을 모두 고른 것은? ㄱ. 행렬 $A=\begin{pmatrix}a&b\\c&d\end{pmatrix}$가 임의의 $2\times 2$ 행렬 $B$에 대하여 $AB=BA$를 만족할 필요충분조건은 $a=d,\,b=c=0$. ㄴ. $A$가 $m\times n$행렬일 때 $A^TA$가 가역이기 위한 필요충분조건은 $\mathrm{rank}(A)=m$. ㄷ. $0$이 아닌 실수 $a,b,c$에 대하여 $a=b+c...","ㄱ 참(스칼라 행렬 ↔ 모든 행렬과 가환). ㄴ 거짓(필요충분은 $\mathrm{rank}(A)=n$). ㄷ 거짓(반례 가능). ㄹ 참(역행렬의 행렬식 계산으로 확인). ㅁ 참(반대칭 행렬은 부분공간). 답: ㄱ, ㄹ, ㅁ."
"P3","quality","complex_problem_low_math_explanation","q-2025-sookmyung-09","적분학","급수의 수렴/발산","수렴 판정 (스털링)","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=28"",""explanationMathDensity=0""]","다음 급수 중 수렴하는 것을 모두 고른 것은? (가) $\displaystyle\sum_{n=1}^{\infty}\dfrac{n!}{n^n}$ (나) $\displaystyle\sum_{n=1}^{\infty}(-1)^n\sin\!\left(\dfrac{\pi}{n}\right)$ (다) $\displaystyle\sum_{n=1}^{\infty}\!\left(1+\dfrac{1}{n}\right)^{n^2}$ (라) $\di...","(가) 비율판정 $\to 1/e<1$ 수렴. (나) 교대급수 ($\sin(\pi/n)\downarrow 0$) 수렴. (다) 일반항 $\to e>1$ 발산. (라) 비율판정 $\to 2/3<1$ 수렴."
"P3","quality","complex_problem_low_math_explanation","q-daily-eng-r17-4","공학수학","Laplace변환","조각함수 Laplace","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=15"",""explanationMathDensity=0""]","$f(t)=\{0,t<2\pi;\sin t,2\pi\le t\le 3\pi;0,t>3\pi\}$의 라플라스 변환은?","$f=\sin t\,u(t-2\pi)-\sin t\,u(t-3\pi)$. 평행 변환."
"P3","quality","complex_problem_low_math_explanation","q-daily-eng-r27-3","공학수학","벡터해석","면적분 + 발산정리","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=13"",""explanationMathDensity=0""]","반구 $S:x^2+y^2+z^2=1,z\ge 0$, $F=(ye^{z^2}\sin z,xe^{z^2}\cos z,4x^2+z)$. $\iint_S F\cdot n dS$의 값은?","$xy$평면 닫고 발산정리: $\iiint 1 dV+\pi=2\pi/3+\pi=5\pi/3$."
"P3","quality","complex_problem_low_math_explanation","q-daily-la-r27-2","선형대수","고유치와 대각화","확률행렬 극한","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=15"",""explanationMathDensity=0""]","행렬 $A=\begin{pmatrix}0.8&0.2\\0.2&0.8\end{pmatrix}$이고 벡터 $v_0=\begin{pmatrix}2\\1\end{pmatrix}$일 때 수열 $\{v_k|v_k=Av_{k-1}\}$의 극한 $\lim_{k\to\infty}v_k$는?","확률행렬, $\lambda=1,0.6$. 정상상태에서 두 성분이 같음. 보존량 $2+1=3$이므로 $(1.5,1.5)$."
"P3","quality","complex_problem_low_math_explanation","q-daily-la-r28-2","선형대수","선형사상","선형변환 값","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","$T$가 $2\times 3$ 행렬이고 $T\begin{pmatrix}1\\0\\0\end{pmatrix}=\begin{pmatrix}1\\-3\end{pmatrix},\ T\begin{pmatrix}0\\1\\0\end{pmatrix}=\begin{pmatrix}2\\5\end{pmatrix},\ T\begin{pmatrix}2\\3\\1\end{pmatrix}=\begin{pmatrix}8\\-5\end{pmatrix}$일...","$T(0,0,1)=T(2,3,1)-2T(1,0,0)-3T(0,1,0)=(8,-5)-(2,-6)-(6,15)=(0,-14)$."
"P3","quality","complex_problem_low_math_explanation","q-daily-la-r28-6","선형대수","선형사상","기저 변환 표현행렬","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","선형사상 $T:R^3\to R^2$가 $T(x,y,z)=(2x+3y-4z,x-5y+z)$로 정의된다. $E_1=\{(1,1,1),(1,1,0),(1,0,0)\}$와 $E_2=\{(1,1),(0,1)\}$에 관한 $T$의 표현행렬을 구하라.","$T(1,1,1)=(1,-3)=1(1,1)-4(0,1)$, $T(1,1,0)=(5,-4)=5(1,1)-9(0,1)$, $T(1,0,0)=(2,1)=2(1,1)-1(0,1)$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r1-3","다변수함수","곡선과 곡면","벡터함수 접선","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=9"",""explanationMathDensity=0""]","$\vec r(t)=(3t,4\sin t,4\cos t)$의 그래프 위의 점 $\left(\dfrac{3}{2}\pi,4,0\right)$에서의 접선 방정식은?","점에서 $t=\pi/2$. $\vec r'(t)=(3,4\cos t,-4\sin t)$이고 $\vec r'(\pi/2)=(3,0,-4)$. 따라서 $y$ 방향 0이므로 $y=4$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r29-6","다변수함수","중적분","극좌표","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=15"",""explanationMathDensity=0""]","$\displaystyle\int_0^1\int_{-\sqrt{1-y^2}}^0\cos(x^2+y^2)dxdy$의 값은?","$\pi/2\le\theta\le\pi,0\le r\le 1$. $\pi/2\cdot\sin 1/2=\pi\sin 1/4$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r30-2","다변수함수","중적분","극좌표","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","영역 $D=\{(x,y)|x^2+y^2\le 1,|x|\le y\}$에서 $\iint_D\sqrt{x^2+y^2}dA$의 값은?","$\pi/4\le\theta\le 3\pi/4,0\le r\le 1$. $\pi/2\cdot 1/3=\pi/6$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r35-5","다변수함수","삼중적분과 극좌표계","구면좌표","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=12"",""explanationMathDensity=0""]","$z=\sqrt{(x^2+y^2)/3}$의 위쪽이며 $x^2+y^2+z^2=1$의 안쪽에 놓이는 영역 $E$에서 $\iiint_E 8ze^{x^2+y^2+z^2}dV$의 값은?","구좌표 $0\le\phi\le\pi/3,0\le\rho\le 1$. 적분 결과 $3\pi$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r36-1","다변수함수","삼중적분과 극좌표계","변수변환","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=14"",""explanationMathDensity=0""]","영역 $R=\{(x,y,z)|9x^2+4y^2+z^2\le 1\}$에 대해 $\iiint_R(9x^2+4y^2+z^2)^2 dxdydz$의 값은?","$3x=X,2y=Y,z=Z$. Jacobian $1/6$. 구좌표 적분 결과 $2\pi/21$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r36-3","다변수함수","삼중적분과 극좌표계","원뿔-구 부피","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","원뿔 $z=\sqrt{3(x^2+y^2)}$의 윗부분과 구 $x^2+y^2+z^2=2z$로 둘러싸인 영역의 부피는?","구 중심 (0,0,1), 반경 1. 구좌표 $\rho=2\cos\phi$. 적분 결과 $7\pi/12$."
"P3","quality","complex_problem_low_math_explanation","q-daily-mv-r9-2","다변수함수","편도함수","편미분 / 미분가능성","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=13"",""explanationMathDensity=0""]","$f(x,y)=\begin{cases}xy^2\sqrt{x^2+y^2}/(x^2+y^4),&(x,y)\ne(0,0)\\0,&(0,0)\end{cases}$. 옳은 것을 모두 고르면? ⓐ 원점에서 $f_x$ 존재 / ⓑ 원점에서 $f_y$ 존재 / ⓒ 원점에서 미분가능","원점에서 두 편미분 모두 0으로 존재. 그러나 미분가능성 정의 한계 검증 시 실패."
"P3","quality","complex_problem_low_math_explanation","q-ryu-self-warmup-r04-19","공학수학","미분방정식","함수의 증가감소와 볼록성","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","19. 함수 $y=f(x)$ 가 $f(0)=0$ 이고 연속 함수 $g$ 에 대한 미분방정식 $y^{\prime}=g(x)$ 의 해라 한다. 다음 명제 중 옳은 것을 모두 고르면? (a) $\lim _{x \rightarrow \infty} g(x)=1$ 이면 $\lim _{x \rightarrow \infty}\{f(x)-x\}=0$ 이다. (b) $x \geq 0$ 에서 $g$ 가 감소함수이면 $f$ 도 $x \geq 0$ ...","$f'(x)=g(x)$이다. ㄱ은 $g(x)\to1$이어도 $f(x)-x$가 반드시 $0$으로 갈 필요는 없어 거짓이다. ㄴ도 $g$가 감소한다고 해서 $f$ 자체가 감소하는 것은 아니므로 거짓이다. ㄷ은 $g'(x)<0$이면 $f''(x)<0$이므로 위로 볼록이 되어 참이다."
